Gene	Accession	RPKM_LowMyc	SpikeIn_renormalized_LowMyc
DSCR6	NM_018962	0.00E+00	1.84E-09
UBASH3A	NM_018961	0.098743906	0.039058581
NAT16	NM_198571	0.00E+00	0.00E+00
GNMT	NM_018960	3.462992314	1.593047057
DAZAP1	NM_018959	31.41089145	13.91228139
C15orf2	NM_018958	0.00E+00	0.00E+00
SH3BP1	NM_018957	48.02393126	21.77922367
C9orf9	NM_018956	6.669539718	3.103183184
UBB	NM_018955	69.20064935	31.53847065
HOXC5	NM_018953	0.00E+00	0.00E+00
HOXB6	NM_018952	0.00E+00	0.00E+00
HOXA10	NM_018951	0.00E+00	0.00E+00
HLA-F	NM_018950	4.369790532	2.031996286
VWC2	NM_198570	0.00E+00	0.00E+00
HLA-F	NM_018950	0.00E+00	0.00E+00
HLA-F	NM_018950	0.00E+00	0.00E+00
UTS2R	NM_018949	0.240607932	0.106479045
ERRFI1	NM_018948	0.071354288	0.023120864
CYCS	NM_018947	1.649432231	0.760886478
NANS	NM_018946	25.33288388	11.55740411
PDE7B	NM_018945	0.601862515	0.268129103
MIS18A	NM_018944	2.582842365	1.201737133
TUBA8	NM_018943	0.616988488	0.27668897
HMX1	NM_018942	0.00E+00	0.00E+00
GPR126	NM_198569	0.00E+00	0.00E+00
CLN8	NM_018941	3.595040189	1.670764539
PCDHB7	NM_018940	0.00E+00	3.25E-09
PCDHB6	NM_018939	0.00E+00	0.00E+00
PCDHB4	NM_018938	0.00E+00	0.00E+00
PCDHB3	NM_018937	0.00E+00	0.00E+00
PCDHB2	NM_018936	0.007116778	1.66E-05
PCDHB15	NM_018935	0.021937368	0.001759003
PCDHB14	NM_018934	0.04532856	0.015527854
PCDHB13	NM_018933	0.05013806	0.011865824
PCDHB12	NM_018932	0.002848382	4.96E-06
GJB7	NM_198568	0.00E+00	0.00E+00
PCDHB11	NM_018931	0.014838407	4.37E-05
PCDHB10	NM_018930	0.026782823	0.002141736
PCDHGC5	NM_018929	7.594732558	3.53366864
PCDHGC4	NM_018928	7.65160037	3.560126605
PCDHGB7	NM_018927	7.448024331	3.465409763
PCDHGB6	NM_018926	7.898382799	3.674893686
PCDHGB5	NM_018925	9.064798097	4.217049744
PCDHGB3	NM_018924	8.573079202	3.988602982
PCDHGB2	NM_018923	9.030180226	4.201209034
PCDHGB1	NM_018922	7.539536591	3.507987537
C5orf25	NM_198567	2.617853972	1.210781064
PCDHGA9	NM_018921	7.987167191	3.716213889
PCDHGA7	NM_018920	8.052514825	3.746591596
PCDHGA6	NM_018919	8.876738201	4.12982124
PCDHGA5	NM_018918	7.94807734	3.697990899
PCDHGA4	NM_018917	7.815187512	3.636219783
PCDHGA3	NM_018916	7.449630207	3.466156977
PCDHGA2	NM_018915	7.190281649	3.345459827
PCDHGA11	NM_018914	7.593281034	3.532990333
PCDHGA10	NM_018913	7.564828542	3.5197551
PCDHGA1	NM_018912	7.519876783	3.498840439
RTN4	NM_207520	3.688927511	1.716356137
C5orf34	NM_198566	0.873770669	0.394368157
PCDHA8	NM_018911	0.00E+00	0.00E+00
PCDHA7	NM_018910	0.00E+00	0.00E+00
PCDHA6	NM_018909	0.00E+00	0.00E+00
PCDHA5	NM_018908	0.00E+00	0.00E+00
PCDHA4	NM_018907	0.00E+00	0.00E+00
PCDHA3	NM_018906	0.001845492	2.79E-06
PCDHA2	NM_018905	0.00E+00	0.00E+00
PCDHA13	NM_018904	0.00E+00	0.00E+00
PCDHA12	NM_018903	0.00E+00	0.00E+00
PCDHA11	NM_018902	0.00E+00	0.00E+00
LRRC33	NM_198565	28.95639153	13.08872814
PCDHA10	NM_018901	0.00E+00	0.00E+00
PCDHA1	NM_018900	0.003690983	6.98E-06
PCDHAC2	NM_018899	0.00E+00	0.00E+00
PCDHAC1	NM_018898	0.00E+00	0.00E+00
DNAH7	NM_018897	0.000783225	1.49E-05
CACNA1G	NM_018896	0.102417395	0.038538097
LAMC2	NM_018891	0.019320117	0.00262833
RAC1	NM_018890	23.75815631	10.97770453
ABCB4	NM_018850	0.00E+00	0.00E+00
ABCB4	NM_018849	0.00E+00	0.00E+00
DNAH12	NM_198564	0.03786362	0.009935734
MKKS	NM_018848	4.014921631	1.867899754
KLHL9	NM_018847	8.6533894	4.024235763
KLHL7	NM_018846	0.613593379	0.276090299
SLC50A1	NM_018845	13.11170214	6.09691531
BCAP29	NM_018844	3.027176435	1.387049093
SLC25A40	NM_018843	1.699238398	0.779905944
BAIAP2L1	NM_018842	1.997002884	0.911261866
GNG12	NM_018841	0.006605093	1.50E-05
C20orf24	NM_018840	21.55819069	9.922899233
NSFL1C	NM_018839	9.886067203	4.596964783
TMEM110	NM_198563	3.818554257	1.776391776
NDUFA12	NM_018838	26.56133723	12.2131786
SULF2	NM_018837	0.069711207	0.027381602
AJAP1	NM_018836	0.00E+00	0.00E+00
RC3H2	NM_018835	6.23008957	2.89855052
MATR3	NM_018834	20.36180669	9.392271533
TAP2	NM_018833	0.00E+00	0.00E+00
TAP2	NM_018833	0.00E+00	0.00E+00
TAP2	NM_018833	112.8643924	49.45377115
MYO5C	NM_018728	0.343756205	0.15098629
TRPV1	NM_018727	2.243280272	1.034131308
C3orf62	NM_198562	8.436415289	3.924355951
IL17RB	NM_018725	0.851766721	0.381824819
IL20	NM_018724	0.00E+00	0.00E+00
RBFOX1	NM_018723	0.006098818	0.000396962
CDCA7L	NM_018719	22.75937855	10.49295209
CEP41	NM_018718	1.011736822	0.458353403
MAML3	NM_018717	5.154941137	2.395565731
RCC2	NM_018715	23.70301528	10.90053041
COG1	NM_018714	5.813493022	2.704723921
SLC30A10	NM_018713	0.00E+00	0.00E+00
ELMOD1	NM_018712	0.00E+00	0.00E+00
LHFPL4	NM_198560	0.00E+00	2.97E-09
SVOP	NM_018711	0.00E+00	0.00E+00
TMEM55A	NM_018710	1.504911682	0.684983889
FEM1A	NM_018708	2.790465797	1.298253615
DHTKD1	NM_018706	7.954892578	3.701086014
CTTNBP2NL	NM_018704	0.952630225	0.427779459
RBBP6	NM_018703	15.29322725	7.112041146
ADARB2	NM_018702	0.00E+00	2.28E-09
TRIM36	NM_018700	0.006563411	0.000455515
PRDM5	NM_018699	0.00E+00	2.84E-09
NXT2	NM_018698	4.36576737	2.015797142
C2orf62	NM_198559	0.014674657	4.31E-05
LANCL2	NM_018697	1.73941712	0.802250901
ELAC1	NM_018696	1.286769602	0.587192495
ERBB2IP	NM_018695	17.67205791	8.217930024
ARL6IP4	NM_018694	87.49970691	38.3546358
FAM114A2	NM_018691	3.911187864	1.811080516
APOBR	NM_018690	52.96768068	24.17977961
KIAA1199	NM_018689	0.006855428	0.000989554
BIN3	NM_018688	20.51826895	9.493725467
C19orf80	NM_018687	0.00E+00	0.00E+00
CMAS	NM_018686	4.683584063	2.179173696
RBM43	NM_198557	1.07142242	0.481585299
ANLN	NM_018685	1.12132376	0.508542681
ZC4H2	NM_018684	11.09502693	5.161294421
RNF114	NM_018683	22.10994627	10.21434138
MLL5	NM_018682	17.98919751	8.364862265
TCP11	NM_018679	0.014395381	4.20E-05
ACSS2	NM_018677	1.068811567	0.481280092
THSD1	NM_018676	0.353835924	0.153090853
ABCA5	NM_018672	0.03883334	0.00015506
UNC45A	NM_018671	16.831974	7.772366617
MESP1	NM_018670	0.025061839	0.00993895
FAM89A	NM_198552	0.162004098	0.071416265
WDR4	NM_018669	2.609827588	1.213704121
VPS33B	NM_018668	5.098256067	2.371071455
SMPD3	NM_018667	3.295944929	1.52979553
SAGE1	NM_018666	0.00E+00	0.00E+00
DDX43	NM_018665	0.00E+00	0.00E+00
BATF3	NM_018664	1.454608537	0.675139619
PXMP2	NM_018663	4.422545973	2.056930681
DISC1	NM_018662	0.004125493	8.08E-06
DEFB103B	NM_018661	0.00E+00	0.00E+00
DEFB103B	NM_018661	0.00E+00	0.00E+00
MIA3	NM_198551	9.700115319	4.513241766
ZNF395	NM_018660	8.049648277	3.743067402
CYTL1	NM_018659	0.00E+00	0.00E+00
KCNJ16	NM_018658	0.00E+00	0.00E+00
MYNN	NM_018657	1.716174821	0.787491173
SLC35E3	NM_018656	1.72472862	0.797184093
LENEP	NM_018655	0.014957297	0.003666643
GPRC5D	NM_018654	0.00E+00	0.00E+00
GPRC5C	NM_018653	5.18433052	2.411591889
GOLGA6B	NM_018652	0.00E+00	0.00E+00
ZNF167	NM_018651	0.081267691	0.027842684
ZAP70	NM_207519	0.040251357	0.01404251
FAM73A	NM_198549	1.018130651	0.457900821
MARK1	NM_018650	0.00E+00	0.00E+00
H2AFY2	NM_018649	0.00E+00	0.00E+00
NOP10	NM_018648	42.07700032	19.18356838
TNFRSF19	NM_018647	1.732377112	0.794549924
TRPV6	NM_018646	0.00E+00	0.00E+00
HES6	NM_018645	3.358579085	1.562551006
B3GAT1	NM_018644	0.00E+00	0.00E+00
TREM1	NM_018643	0.065388941	0.000307364
CHST12	NM_018641	17.88088368	8.20219333
LMO3	NM_018640	0.030390667	0.008096461
SPATA21	NM_198546	0.077080183	0.000381386
WSB2	NM_018639	7.798220511	3.628318831
ETNK1	NM_018638	8.232259334	3.830097921
PARL	NM_018622	4.138658566	1.925629377
DNAJA4	NM_018602	0.00E+00	0.00E+00
SLC16A10	NM_018593	0.520452874	0.232635157
CSGALNACT2	NM_018590	2.054617514	0.937620655
CAMK2N1	NM_018584	0.028903019	0.000105169
STRADB	NM_018571	0.688549845	0.309002783
AP1AR	NM_018569	0.994763099	0.455843984
YOD1	NM_018566	2.584477619	1.183432953
C1orf187	NM_198545	0.016425187	0.003480601
SERINC2	NM_018565	3.08825379	1.424220306
USP49	NM_018561	2.031899555	0.938825135
KIAA1704	NM_018559	7.998747497	3.720663103
GABRQ	NM_018558	0.00E+00	0.00E+00
LRP1B	NM_018557	0.000587217	6.15E-07
SIRPG	NM_018556	2.245799743	1.015267502
ZNF331	NM_018555	1.536404906	0.70708333
ERMAP	NM_018538	2.132068683	0.968261666
NRP2	NM_018534	10.15726111	4.718574611
GSDMB	NM_018530	53.30648991	24.46380065
APITD1-CORT	NM_198544	0.301742765	0.135233164
NAA16	NM_018527	2.416939041	1.120723736
MCM10	NM_018518	0.819792753	0.377362244
LRRC59	NM_018509	23.83363383	10.83416985
TMCO6	NM_018502	2.189149624	1.016666353
PBK	NM_018492	1.298493427	0.598670543
CBWD1	NM_018491	0.230991705	0.101834541
LGR4	NM_018490	0.148005116	0.055993664
ASH1L	NM_018489	7.0285892	3.268895628
TBX4	NM_018488	0.00E+00	0.00E+00
TMEM176A	NM_018487	0.00E+00	0.00E+00
ZNF773	NM_198542	1.069710021	0.484072582
HDAC8	NM_018486	4.603007791	2.13688166
GPR77	NM_018485	0.241362189	0.106637454
SLC22A11	NM_018484	0.00E+00	0.00E+00
ASAP1	NM_018482	11.01164374	5.122466017
TMEM126B	NM_018480	5.957168487	2.771532926
ECHDC1	NM_018479	2.802628371	1.296680229
DBNDD2	NM_018478	0.281845563	0.123039313
ACTR10	NM_018477	5.460099569	2.538648776
BEX1	NM_018476	0.00E+00	0.00E+00
TMEM165	NM_018475	9.791267146	4.553286946
IGFL1	NM_198541	0.00E+00	0.00E+00
PLK1S1	NM_018474	4.182347319	1.936423135
ACOT13	NM_018473	0.858612244	0.388399395
ZC3H15	NM_018471	17.16182549	7.966136819
TEX2	NM_018469	1.968156911	0.913017827
USE1	NM_018467	14.93515778	6.945411096
ALG13	NM_018466	2.678990263	1.234797041
C9orf46	NM_018465	8.529169643	3.967472469
CISD1	NM_018464	0.428262597	0.194173842
ITFG2	NM_018463	8.634634599	4.016247963
BRK1	NM_018462	62.58557736	28.37190633
B3GNT8	NM_198540	0.020719926	0.005221788
PPP2R2D	NM_018461	11.97406789	5.566032477
ARHGAP15	NM_018460	11.74918187	5.465381529
PRR13	NM_018457	40.03950664	18.32076884
EAF2	NM_018456	9.25998905	4.308444879
CENPN	NM_018455	2.170573164	1.008090449
NUSAP1	NM_018454	13.17275876	6.12564273
EAPP	NM_018453	22.83516502	10.60813204
TMEM242	NM_018452	0.00E+00	0.00E+00
CENPJ	NM_018451	3.01933548	1.399092447
UBAP2	NM_018449	23.50232624	10.78387253
ZNF568	NM_198539	0.366268077	0.161899633
CAND1	NM_018448	7.870327986	3.65959824
TMEM111	NM_018447	11.7296367	5.454291872
GLT8D1	NM_018446	5.968011349	2.776754269
SELS	NM_018445	5.341367004	2.485025823
PDP1	NM_018444	6.006354565	2.782773327
ZNF302	NM_018443	5.917632322	2.745701043
DCAF6	NM_018442	10.40881088	4.841424999
PECR	NM_018441	3.589727257	1.666501829
PAG1	NM_018440	11.1250209	5.175395931
IMPACT	NM_018439	2.9628144	1.374408296
SBSN	NM_198538	0.121721449	0.049143935
FBXO6	NM_018438	0.332140822	0.146275726
HEMGN	NM_018437	0.013309807	0.000934882
ALLC	NM_018436	0.00E+00	4.57E-09
RNF130	NM_018434	10.5429425	4.90232877
KDM3A	NM_018433	7.080958594	3.291678064
DOK5	NM_018431	0.010591692	0.002172919
TSNAXIP1	NM_018430	0.301616395	0.132846145
BDP1	NM_018429	3.031828504	1.404470706
BDP1	NM_018429	0.00E+00	0.00E+00
UTP6	NM_018428	17.73166153	8.205540651
YJEFN3	NM_198537	7.741372093	3.595914259
RRN3	NM_018427	4.72407409	2.197752623
TMEM63B	NM_018426	4.378747432	2.036819771
PI4K2A	NM_018425	7.211457765	3.355332334
EPB41L4B	NM_018424	0.657076969	0.294669319
STYK1	NM_018423	0.00E+00	0.00E+00
TBC1D2	NM_018421	3.304047445	1.528464013
SLC22A15	NM_018420	1.53013145	0.69289824
SOX18	NM_018419	0.034160536	0.012069815
SPATA7	NM_018418	0.569031144	0.253148573
ADCY10	NM_018417	0.001790682	6.39E-05
PRKACA	NM_207518	29.86343988	13.78657583
TMEM205	NM_198536	12.14347689	5.620686901
FOXJ2	NM_018416	3.0085148	1.39605633
ST6GALNAC1	NM_018414	0.00E+00	0.00E+00
CHST11	NM_018413	10.21890392	4.753268282
ST7	NM_018412	2.133417136	0.987195455
HR	NM_018411	0.386404751	0.171450484
HJURP	NM_018410	3.297294367	1.533613526
LRP2BP	NM_018409	0.03575774	0.006644416
LAPTM4B	NM_018407	6.623335577	3.079874757
MUC4	NM_018406	0.016553227	5.05E-05
C17orf79	NM_018405	5.159261686	2.399237021
ZNF699	NM_198535	1.121854394	0.503150523
ADAP2	NM_018404	3.683047952	1.703266424
DCP1A	NM_018403	5.220168688	2.427815485
IL26	NM_018402	0.00E+00	0.00E+00
STK32B	NM_018401	0.00E+00	0.00E+00
SCN3B	NM_018400	0.00E+00	0.00E+00
CACNA2D3	NM_018398	0.00E+00	0.00E+00
CHDH	NM_018397	0.756990157	0.343250577
METTL2B	NM_018396	4.110692869	1.91246645
ABHD10	NM_018394	6.582890687	3.062694672
TCP11L1	NM_018393	2.146836667	0.986496695
C19orf45	NM_198534	0.092505401	0.000484435
C4orf21	NM_018392	1.781589349	0.814555819
PLCXD1	NM_018390	3.567024796	1.659660357
PLCXD1	NM_018390	3.685986629	1.715005771
SLC35C1	NM_018389	5.802663519	2.698662411
MBNL3	NM_018388	5.244214285	2.433906652
STRBP	NM_018387	37.49490095	17.25340038
PCID2	NM_018386	6.83750753	3.179631223
LSG1	NM_018385	6.06025945	2.818940944
GIMAP5	NM_018384	0.056888727	0.012755703
WDR33	NM_018383	8.229386377	3.826556775
HSD11B1L	NM_198533	0.248251893	0.110825477
C19orf66	NM_018381	57.88723101	26.06700297
DDX28	NM_018380	3.147196276	1.46416239
FAM63A	NM_018379	1.281771858	0.577172695
FBXL8	NM_018378	1.966954669	0.911350018
NIPSNAP3B	NM_018376	4.338358778	2.012225664
SLC39A9	NM_018375	10.56828579	4.915276067
TMEM106B	NM_018374	0.040235909	0.007653353
SYNJ2BP	NM_018373	1.938707169	0.881826338
LRIF1	NM_018372	6.208587724	2.887169345
CSGALNACT1	NM_018371	30.71633844	14.19285002
C19orf35	NM_198532	1.359775407	0.616905278
DRAM1	NM_018370	0.802775801	0.360681538
DEPDC1B	NM_018369	1.166890155	0.533335697
LMBRD1	NM_018368	8.988071578	4.180893341
ACER3	NM_018367	2.830093049	1.302813291
CNO	NM_018366	3.635522851	1.691360579
MNS1	NM_018365	0.364682996	0.162634723
RSBN1	NM_018364	2.136397895	0.985101375
RNLS	NM_018363	0.00E+00	0.00E+00
LIN7C	NM_018362	2.346794299	1.071756534
AGPAT5	NM_018361	4.154486039	1.932982067
ATP9B	NM_198531	4.776777645	2.221449376
TXLNG	NM_018360	3.349852631	1.558559988
UFSP2	NM_018359	2.79915842	1.294195397
ABCF3	NM_018358	11.60194236	5.391281501
LARP6	NM_018357	0.00E+00	0.00E+00
C5orf22	NM_018356	4.625204434	2.148476105
ZNF415	NM_018355	0.101381572	0.025530326
TMEM74B	NM_018354	0.00E+00	0.00E+00
MIS18BP1	NM_018353	9.853595895	4.584448493
TMA16	NM_018352	3.0316288	1.409271488
FGD6	NM_018351	0.142139409	0.05693965
MXRA7	NM_198530	0.168914158	0.073842181
MCTP2	NM_018349	1.047163873	0.462709143
FTSJD1	NM_018348	7.819822445	3.638396185
AP5S1	NM_018347	4.093308173	1.903688312
RSAD1	NM_018346	4.160265232	1.934732111
SLC29A3	NM_018344	3.823822668	1.774514661
RIOK2	NM_018343	3.078995187	1.427433341
TMEM144	NM_018342	0.00E+00	0.00E+00
C6orf70	NM_018341	1.312679132	0.601834224
CPPED1	NM_018340	3.675589479	1.702207321
RFK	NM_018339	1.581423319	0.730754599
EFCAB5	NM_198529	0.051071066	0.000222215
WDR52	NM_018338	0.573975433	0.258546467
ZNF444	NM_018337	8.343374297	3.879750973
ZNF839	NM_018335	5.144656603	2.393657939
LRRN3	NM_018334	0.019206048	6.14E-05
DDX19A	NM_018332	10.60102528	4.928150583
KIAA1598	NM_018330	0.00E+00	0.00E+00
MBD5	NM_018328	2.66240378	1.210664533
SPTLC3	NM_018327	0.005049303	1.06E-05
GIMAP4	NM_018326	2.791153349	1.268665147
C9orf72	NM_018325	3.797332106	1.750357801
HDDC3	NM_198527	6.446752311	2.997700159
OLAH	NM_018324	0.03175775	0.000119036
PI4K2B	NM_018323	4.628550201	2.153491263
SAYSD1	NM_018322	0.667375881	0.30072061
BRIX1	NM_018321	10.69782488	4.974705036
RNF121	NM_018320	5.769986686	2.684631142
TDP1	NM_018319	3.274622077	1.521443881
CCDC91	NM_018318	4.988754882	2.318608551
TBC1D19	NM_018317	0.247206908	0.109698871
KLHL26	NM_018316	1.753654403	0.814893728
FBXW7	NM_018315	7.032908882	3.271739041
ZNF710	NM_198526	16.33522722	7.546739846
UEVLD	NM_018314	2.442635259	1.116804471
PBRM1	NM_018313	9.730355404	4.526322577
PPP6R3	NM_018312	16.43793061	7.638365703
BRF2	NM_018310	5.470055402	2.544990496
TBC1D23	NM_018309	4.479502505	2.072830149
RHOT1	NM_018307	3.03254469	1.401905474
TMEM40	NM_018306	0.073798077	0.023018058
PRR11	NM_018304	4.019083153	1.860608971
EXOC2	NM_018303	3.909575379	1.814014658
C4orf19	NM_018302	0.00E+00	0.00E+00
ADAMTSL3	NM_207517	0.00E+00	0.00E+00
KIF7	NM_198525	0.002129725	3.38E-06
RBM41	NM_018301	2.546236406	1.166847497
ZNF83	NM_018300	21.89644147	10.18210383
UBE2W	NM_018299	3.56935387	1.635718432
MCOLN3	NM_018298	0.00E+00	0.00E+00
NGLY1	NM_018297	11.57825328	5.383911344
LRRC36	NM_018296	0.210236921	0.080363436
TMEM140	NM_018295	16.79289543	7.808728996
CWF19L1	NM_018294	7.395675957	3.440810833
ZNF654	NM_018293	2.67111912	1.219708203
QRSL1	NM_018292	4.856000052	2.24876824
TEX9	NM_198524	0.144167607	0.063286944
FGGY	NM_018291	0.939881172	0.422308757
PGM2	NM_018290	7.242990076	3.369738768
VPS53	NM_018289	7.869603423	3.661447108
PHF10	NM_018288	1.014799862	0.462346037
ARHGAP12	NM_018287	3.08529737	1.416518372
TMEM100	NM_018286	0.055312168	0.018584717
IMP3	NM_018285	12.48863047	5.744301227
GBP3	NM_018284	3.263436126	1.492852403
NUDT15	NM_018283	2.981317666	1.383904577
ECHDC2	NM_018281	0.00E+00	0.00E+00
C12orf42	NM_198521	0.271276107	0.119267266
C22orf26	NM_018280	0.00E+00	0.00E+00
TMEM19	NM_018279	2.438283401	1.121664182
C7orf43	NM_018275	22.70825229	10.48295071
TMEM143	NM_018273	2.045910781	0.95042361
CASC1	NM_018272	0.034807	0.000134283
THNSL2	NM_018271	0.00E+00	0.00E+00
C20orf20	NM_018270	9.760687479	4.53916436
ADI1	NM_018269	4.946313754	2.301342154
WDR41	NM_018268	4.109847631	1.910370202
TMEM39A	NM_018266	3.703015925	1.719261382
TBC1D10C	NM_198517	138.2588414	60.04348718
C1orf106	NM_018265	0.935331304	0.422518196
TYW1	NM_018264	2.279608797	1.0537803
ASXL2	NM_018263	8.347399568	3.883450306
IFT122	NM_018262	1.457231293	0.669968061
EXOC1	NM_018261	5.924674275	2.756037056
ZNF701	NM_018260	1.778928567	0.806717871
TTC17	NM_018259	22.56595284	10.48173602
PCMTD2	NM_018257	11.96785229	5.566508902
WDR12	NM_018256	1.710047672	0.794739449
ELP2	NM_018255	9.651815338	4.487996345
GALNTL4	NM_198516	0.532646284	0.247137828
RCOR3	NM_018254	7.023693728	3.267397548
YY1AP1	NM_018253	24.69348869	11.40382537
TMEM206	NM_018252	4.146129095	1.927787323
INTS9	NM_018250	6.967892371	3.240978863
CDK5RAP2	NM_018249	17.87355898	8.296538641
NEIL3	NM_018248	0.266728079	0.119718116
TMEM30A	NM_018247	11.08091772	5.153389406
CCDC25	NM_018246	4.152264722	1.929783521
OGDHL	NM_018245	2.564870236	1.193378589
UQCC	NM_018244	7.629418865	3.549399267
C10orf96	NM_198515	0.00E+00	0.00E+00
11-Sep	NM_018243	3.999995788	1.861027917
SLC47A1	NM_018242	0.00E+00	1.61E-09
TMEM184C	NM_018241	4.600593787	2.138794597
KIRREL	NM_018240	0.00E+00	0.00E+00
LRRC20	NM_018239	2.447549275	1.138563034
AGK	NM_018238	4.430504683	2.061241466
CCAR1	NM_018237	17.93507811	8.340259143
CNDP2	NM_018235	26.49650757	12.19160251
STEAP3	NM_018234	3.516024684	1.635463192
OGFOD1	NM_018233	6.277592272	2.919728311
NHLRC2	NM_198514	3.587078919	1.653121385
FAM21B	NM_018232	0.127904595	0.050000336
FAM21B	NM_018232	0.127904595	0.052892401
SLC38A7	NM_018231	4.158764956	1.934222568
NUP133	NM_018230	5.989651246	2.786663001
AP5M1	NM_018229	7.210678339	3.354957105
VRTN	NM_018228	0.00E+00	3.22E-09
UBA6	NM_018227	4.304812992	1.994225262
RNPEPL1	NM_018226	58.526762	26.01607713
SMU1	NM_018225	8.02757332	3.734581993
C7orf44	NM_018224	9.639323215	4.482506194
PHF20L1	NM_198513	7.285708907	3.388674226
CHFR	NM_018223	34.19067038	15.69332156
PARVA	NM_018222	0.00E+00	0.00E+00
MOB1A	NM_018221	58.6527486	26.42470879
CCDC87	NM_018219	0.009990345	0.002211908
USP40	NM_018218	4.474451929	2.076075443
EDEM2	NM_018217	9.022244481	4.19645607
PANK4	NM_018216	9.115736346	4.239258615
PNMAL1	NM_018215	0.659233948	0.29694181
LRRC1	NM_018214	0.607468498	0.270712283
ENAH	NM_018212	5.684119598	2.643387975
DGAT2L6	NM_198512	0.00E+00	0.00E+00
RAVER2	NM_018211	0.979409685	0.446381704
CARKD	NM_018210	16.48962201	7.626794765
ARFGAP1	NM_018209	51.02746652	22.87747963
ETNK2	NM_018208	0.00E+00	0.00E+00
TRIM62	NM_018207	4.753815179	2.208687277
VPS35	NM_018206	7.470325068	3.475563002
LRRC20	NM_018205	2.49940078	1.16273823
CKAP2	NM_018204	7.749185886	3.605505929
KLHDC8A	NM_018203	0.00E+00	0.00E+00
TMEM57	NM_018202	9.470642724	4.405745391
LANCL3	NM_198511	0.00E+00	0.00E+00
TBC1D13	NM_018201	20.2879515	9.366770762
HMG20A	NM_018200	15.43920653	7.17932591
EXD2	NM_018199	0.484514252	0.217453094
DNAJC11	NM_018198	15.59709924	7.148808509
ZFP64	NM_018197	3.772245806	1.755145524
TMLHE	NM_018196	2.34102467	1.068704302
C11orf57	NM_018195	3.684668663	1.713764785
HHAT	NM_018194	0.33326303	0.147292621
FANCI	NM_018193	4.376670653	2.03636922
LEPREL1	NM_018192	0.00E+00	0.00E+00
DEF8	NM_207514	18.84279677	8.664189135
ITIH6	NM_198510	0.00E+00	0.00E+00
RCBTB1	NM_018191	8.628965699	4.012928595
BBS7	NM_018190	1.175853847	0.535316628
DPPA4	NM_018189	0.00E+00	0.00E+00
ATAD3A	NM_018188	9.42846706	4.309637213
C1orf112	NM_018186	1.483658867	0.679499382
ARL8B	NM_018184	5.996728488	2.789948088
SBNO1	NM_018183	4.640538761	2.15866045
C17orf63	NM_018182	5.441262057	2.530984281
ZNF532	NM_018181	1.232933389	0.558536357
